,word,duration,sd,ed
0,,759,2002-02-22 00:00:00,2004-03-22 00:00:00
1, akademii,4041,2009-12-01 00:00:00,2020-12-24 00:00:00
2, config,21,2010-05-17 00:00:00,2010-06-07 00:00:00
3, regexp,21,2010-05-17 00:00:00,2010-06-07 00:00:00
4, binaires,526,2008-06-19 00:00:00,2009-11-27 00:00:00
5, citeseerx,2072,2016-11-01 00:00:00,2022-07-05 00:00:00
6, templating,21,2010-05-17 00:00:00,2010-06-07 00:00:00
7,neos,699,2004-02-14 00:00:00,2006-01-13 00:00:00
8, vavasis,5993,2006-02-06 00:00:00,2022-07-05 00:00:00
9, externalizer,21,2010-05-17 00:00:00,2010-06-07 00:00:00
10, nauk,5717,2006-11-09 00:00:00,2022-07-05 00:00:00
11,accessdate,3297,2011-12-15 00:00:00,2020-12-24 00:00:00
12, ampl,232,2009-08-07 00:00:00,2010-03-27 00:00:00
13, optimj,2443,2011-02-25 00:00:00,2017-11-03 00:00:00
14, miqp,827,2020-03-30 00:00:00,2022-07-05 00:00:00
15, nocedal,3347,2011-12-15 00:00:00,2021-02-12 00:00:00
16, comput,26,2019-02-13 00:00:00,2019-03-11 00:00:00
17, ooqp,411,2011-09-12 00:00:00,2012-10-27 00:00:00
18, neos,6017,2006-01-13 00:00:00,2022-07-05 00:00:00
19, tarasov,5718,2006-11-08 00:00:00,2022-07-05 00:00:00
20, focuse,41,2007-03-24 00:00:00,2007-05-04 00:00:00
21, savedata,21,2010-05-17 00:00:00,2010-06-07 00:00:00
22, stringipslashes,21,2010-05-17 00:00:00,2010-06-07 00:00:00
23, sitewide,21,2010-05-17 00:00:00,2010-06-07 00:00:00
24, url,4432,2010-05-17 00:00:00,2022-07-05 00:00:00
25, hribar,3173,2012-06-06 00:00:00,2021-02-12 00:00:00
26, nasoq,120,2020-10-12 00:00:00,2021-02-09 00:00:00
27, musatov,21,2010-05-17 00:00:00,2010-06-07 00:00:00
28, multiplr,21,2010-05-17 00:00:00,2010-06-07 00:00:00
29, idnani,2044,2008-02-19 00:00:00,2013-09-24 00:00:00
30, matlab,5568,2007-04-07 00:00:00,2022-07-05 00:00:00
31, xixi,18,2005-11-09 00:00:00,2005-11-27 00:00:00
32, quadratique,526,2008-06-19 00:00:00,2009-11-27 00:00:00
33, permissiable,21,2010-05-17 00:00:00,2010-06-07 00:00:00
34, ipopt,3023,2014-03-26 00:00:00,2022-07-05 00:00:00
35, nextpage,21,2010-05-17 00:00:00,2010-06-07 00:00:00
36, plugin,284,2010-05-17 00:00:00,2011-02-25 00:00:00
37, pyimsl,1,2012-10-26 00:00:00,2012-10-27 00:00:00
38, doklady,4599,2009-12-01 00:00:00,2022-07-05 00:00:00
39, khachiyan,992,2019-10-17 00:00:00,2022-07-05 00:00:00
40, indepedent,21,2010-05-17 00:00:00,2010-06-07 00:00:00
41, stringtipping,21,2010-05-17 00:00:00,2010-06-07 00:00:00
42, opti,297,2012-12-01 00:00:00,2013-09-24 00:00:00
43, tomlab,3912,2011-10-19 00:00:00,2022-07-05 00:00:00
44, php,21,2010-05-17 00:00:00,2010-06-07 00:00:00
45, golfarb,127,2013-05-20 00:00:00,2013-09-24 00:00:00
46,akademii,4483,2010-03-27 00:00:00,2022-07-05 00:00:00
47, elseif,21,2010-05-17 00:00:00,2010-06-07 00:00:00
48, google,3855,2011-12-15 00:00:00,2022-07-05 00:00:00
49, gertz,2556,2010-02-09 00:00:00,2017-02-08 00:00:00
50, katta,937,2010-04-03 00:00:00,2012-10-26 00:00:00
51, website,937,2010-04-03 00:00:00,2012-10-26 00:00:00
52, qps,138,2019-05-08 00:00:00,2019-09-23 00:00:00
53, sahni,3597,2012-08-29 00:00:00,2022-07-05 00:00:00
54, sssr,1118,2006-11-09 00:00:00,2009-12-01 00:00:00
55, ublas,20,2008-02-19 00:00:00,2008-03-10 00:00:00
56, secuity,21,2010-05-17 00:00:00,2010-06-07 00:00:00
57, copyleft,659,2011-01-07 00:00:00,2012-10-27 00:00:00
58, pardalos,5993,2006-02-06 00:00:00,2022-07-05 00:00:00
59, gmail,21,2010-05-17 00:00:00,2010-06-07 00:00:00
60, namespace,21,2010-05-17 00:00:00,2010-06-07 00:00:00
61, heuristiques,526,2008-06-19 00:00:00,2009-11-27 00:00:00
62, foreach,21,2010-05-17 00:00:00,2010-06-07 00:00:00
63, nonconvex,3034,2008-10-19 00:00:00,2017-02-08 00:00:00
64, delbos,3597,2012-08-29 00:00:00,2022-07-05 00:00:00
65,aimms,1534,2006-01-13 00:00:00,2010-03-27 00:00:00
66, odys,293,2018-12-04 00:00:00,2019-09-23 00:00:00
67, whiche,21,2010-05-17 00:00:00,2010-06-07 00:00:00
