,word,duration,sd,ed
0,,1713,2002-02-24 00:00:00,2006-11-03 00:00:00
1, sabo,64,2007-02-12 00:00:00,2007-04-17 00:00:00
2, temporis,37,2008-12-31 00:00:00,2009-02-06 00:00:00
3, spetember,2,2008-12-31 00:00:00,2009-01-02 00:00:00
4, openess,31,2006-11-06 00:00:00,2006-12-07 00:00:00
5, mundo,4933,2008-12-31 00:00:00,2022-07-04 00:00:00
6,gaudium,789,2006-11-03 00:00:00,2008-12-31 00:00:00
7, quorumvis,1571,2011-07-30 00:00:00,2015-11-17 00:00:00
8, oecumenicum,190,2018-06-24 00:00:00,2018-12-31 00:00:00
9, url,1030,2019-09-08 00:00:00,2022-07-04 00:00:00
10, humanae,23,2004-10-19 00:00:00,2004-11-11 00:00:00
11,critisised,28,2006-11-09 00:00:00,2006-12-07 00:00:00
12, moom,12,2014-11-03 00:00:00,2014-11-15 00:00:00
13, vaticanum,190,2018-06-24 00:00:00,2018-12-31 00:00:00
14, decemeber,33,2015-11-25 00:00:00,2015-12-28 00:00:00
15, ysmael,9,2009-01-28 00:00:00,2009-02-06 00:00:00
16, pastoralis,4933,2008-12-31 00:00:00,2022-07-04 00:00:00
17,dignitatis,23,2004-10-19 00:00:00,2004-11-11 00:00:00
18, gherardini,3442,2013-01-30 00:00:00,2022-07-04 00:00:00
19, hahaha,64,2007-02-12 00:00:00,2007-04-17 00:00:00
20, freedon,23,2004-10-19 00:00:00,2004-11-11 00:00:00
21, suenes,50,2020-12-14 00:00:00,2021-02-02 00:00:00
22,alberigo,4933,2008-12-31 00:00:00,2022-07-04 00:00:00
23, suenens,5719,2006-11-06 00:00:00,2022-07-04 00:00:00
24, spes,5722,2006-11-03 00:00:00,2022-07-04 00:00:00
25, orbis,4933,2008-12-31 00:00:00,2022-07-04 00:00:00
26, lindau,3442,2013-01-30 00:00:00,2022-07-04 00:00:00
27, critisised,3,2006-11-06 00:00:00,2006-11-09 00:00:00
28,coblentz,64,2007-02-12 00:00:00,2007-04-17 00:00:00
29, hiiii,88,2012-10-25 00:00:00,2013-01-21 00:00:00
30, pauperum,1571,2011-07-30 00:00:00,2015-11-17 00:00:00
31, authorlink,460,2019-09-08 00:00:00,2020-12-11 00:00:00
32, haubtmann,567,2020-12-14 00:00:00,2022-07-04 00:00:00
33, equivoco,3442,2013-01-30 00:00:00,2022-07-04 00:00:00
34, tephy,6,2009-11-09 00:00:00,2009-11-15 00:00:00
35,counicl,3,2006-11-06 00:00:00,2006-11-09 00:00:00
36, teacger,6,2009-11-09 00:00:00,2009-11-15 00:00:00
37, lercaro,2413,2015-11-25 00:00:00,2022-07-04 00:00:00
38, radici,3442,2013-01-30 00:00:00,2022-07-04 00:00:00
39, brunero,3442,2013-01-30 00:00:00,2022-07-04 00:00:00
40, luctus,1571,2011-07-30 00:00:00,2015-11-17 00:00:00
41, oten,170,2017-09-25 00:00:00,2018-03-14 00:00:00
42, rosica,2413,2015-11-25 00:00:00,2022-07-04 00:00:00
43, multiculturalism,567,2020-12-14 00:00:00,2022-07-04 00:00:00
44, ratzinger,5722,2006-11-03 00:00:00,2022-07-04 00:00:00
45, gaudium,5719,2006-11-06 00:00:00,2022-07-04 00:00:00
46, vaticano,3442,2013-01-30 00:00:00,2022-07-04 00:00:00
47, hominum,1571,2011-07-30 00:00:00,2015-11-17 00:00:00
48, llamame,19,2019-10-01 00:00:00,2019-10-20 00:00:00
49, mistakently,3,2009-07-07 00:00:00,2009-07-10 00:00:00
50, huius,4933,2008-12-31 00:00:00,2022-07-04 00:00:00
