,word,duration,sd,ed
0,,1486,2003-05-31 00:00:00,2007-06-25 00:00:00
1, blya,6,2010-05-11 00:00:00,2010-05-17 00:00:00
2, blyad,6,2010-05-11 00:00:00,2010-05-17 00:00:00
3, kinam,6,2010-05-11 00:00:00,2010-05-17 00:00:00
4, disfluent,4563,2010-01-06 00:00:00,2022-07-05 00:00:00
5, pituh,6,2010-05-11 00:00:00,2010-05-17 00:00:00
6, therfore,19,2015-07-18 00:00:00,2015-08-06 00:00:00
7, greenhill,36,2014-06-10 00:00:00,2014-07-16 00:00:00
8, gruyter,2947,2014-06-10 00:00:00,2022-07-05 00:00:00
9, grammer,703,2011-12-04 00:00:00,2013-11-06 00:00:00
10, chater,4908,2009-01-26 00:00:00,2022-07-05 00:00:00
11, ramscar,4591,2009-12-09 00:00:00,2022-07-05 00:00:00
12, thamand,6,2010-05-11 00:00:00,2010-05-17 00:00:00
13, christiannsen,542,2016-01-29 00:00:00,2017-07-24 00:00:00
14,grammer,1,2006-02-28 00:00:00,2006-03-01 00:00:00
15, roediger,249,2009-12-09 00:00:00,2010-08-15 00:00:00
16, naforturd,6,2010-05-11 00:00:00,2010-05-17 00:00:00
17, lera,8,2010-07-26 00:00:00,2010-08-03 00:00:00
18, nahuy,6,2010-05-11 00:00:00,2010-05-17 00:00:00
19, bahasa,867,2010-10-08 00:00:00,2013-02-21 00:00:00
20,phemomena,49,2005-02-14 00:00:00,2005-04-04 00:00:00
21,accessdate,3733,2010-10-08 00:00:00,2020-12-27 00:00:00
22, pagel,36,2014-06-10 00:00:00,2014-07-16 00:00:00
23, chomskyan,830,2020-03-27 00:00:00,2022-07-05 00:00:00
24, syntacticians,4970,2008-11-25 00:00:00,2022-07-05 00:00:00
25, vandervert,52,2009-11-15 00:00:00,2010-01-06 00:00:00
26, kunteyen,6,2010-05-11 00:00:00,2010-05-17 00:00:00
27, lol,28,2014-02-28 00:00:00,2014-03-28 00:00:00
28, dizga,6,2010-05-11 00:00:00,2010-05-17 00:00:00
29, mashta,6,2010-05-11 00:00:00,2010-05-17 00:00:00
30,vulgaris,1,2005-07-18 00:00:00,2005-07-19 00:00:00
31, boroditsky,8,2010-07-26 00:00:00,2010-08-03 00:00:00
32, fondemens,985,2019-10-24 00:00:00,2022-07-05 00:00:00
33, hinzen,3060,2014-02-17 00:00:00,2022-07-05 00:00:00
34, misanace,10,2020-12-17 00:00:00,2020-12-27 00:00:00
35, pretheoretical,2043,2010-09-22 00:00:00,2016-04-26 00:00:00
36, chomskian,155,2019-10-24 00:00:00,2020-03-27 00:00:00
37, mugur,6,2010-05-11 00:00:00,2010-05-17 00:00:00
38, hurford,5121,2008-06-27 00:00:00,2022-07-05 00:00:00
39, sauerland,2947,2014-06-10 00:00:00,2022-07-05 00:00:00
40, herereame,1,2008-08-10 00:00:00,2008-08-11 00:00:00
41,bahasa,204,2010-03-18 00:00:00,2010-10-08 00:00:00
42, suka,6,2010-05-11 00:00:00,2010-05-17 00:00:00
43, valian,984,2019-10-25 00:00:00,2022-07-05 00:00:00
44, url,4288,2010-10-08 00:00:00,2022-07-05 00:00:00
45, pmid,1449,2018-07-17 00:00:00,2022-07-05 00:00:00
46, shavinina,97,2009-11-15 00:00:00,2010-02-20 00:00:00
47, tomasello,548,2021-01-03 00:00:00,2022-07-05 00:00:00
48,accidentertretretgfgcxvcbnbnbmnmnmmnmmal,12,2007-12-17 00:00:00,2007-12-29 00:00:00
49, cahen,6,2010-05-11 00:00:00,2010-05-17 00:00:00
50, brister,305,2014-06-10 00:00:00,2015-04-11 00:00:00
51, pituhenardum,6,2010-05-11 00:00:00,2010-05-17 00:00:00
52,statitical,6,2006-05-12 00:00:00,2006-05-18 00:00:00
53,bioprogram,5121,2008-06-27 00:00:00,2022-07-05 00:00:00
54, bioprogram,3937,2010-03-18 00:00:00,2020-12-27 00:00:00
55,hurford,63,2008-04-25 00:00:00,2008-06-27 00:00:00
56, cipriani,1026,2019-09-13 00:00:00,2022-07-05 00:00:00
57, contenant,985,2019-10-24 00:00:00,2022-07-05 00:00:00
58, naaa,6,2010-05-11 00:00:00,2010-05-17 00:00:00
59, tronolone,305,2014-06-10 00:00:00,2015-04-11 00:00:00
60, jush,6,2010-05-11 00:00:00,2010-05-17 00:00:00
61, hirt,6,2010-05-11 00:00:00,2010-05-17 00:00:00
62, sanam,6,2010-05-11 00:00:00,2010-05-17 00:00:00
63, druing,16,2015-03-26 00:00:00,2015-04-11 00:00:00
64, shirindi,6,2010-05-11 00:00:00,2010-05-17 00:00:00
65, bovar,6,2010-05-11 00:00:00,2010-05-17 00:00:00
66, interwiki,1893,2007-12-17 00:00:00,2013-02-21 00:00:00
67,hjkhkhjkhjkhkhk,131,2003-10-20 00:00:00,2004-02-28 00:00:00
68,vulgari,1,2005-07-18 00:00:00,2005-07-19 00:00:00
69,interwiki,305,2007-06-25 00:00:00,2008-04-25 00:00:00
70, universial,19,2015-07-18 00:00:00,2015-08-06 00:00:00
71, pituhen,6,2010-05-11 00:00:00,2010-05-17 00:00:00
72, innatist,614,2008-11-25 00:00:00,2010-08-01 00:00:00
