,word,duration,sd,ed
0,,4334,2005-12-07 00:00:00,2017-10-19 00:00:00
1, banane,28,2014-12-16 00:00:00,2015-01-13 00:00:00
2, newo,8,2017-05-08 00:00:00,2017-05-16 00:00:00
3, rega,2,2009-10-09 00:00:00,2009-10-11 00:00:00
4, likey,1,2006-09-28 00:00:00,2006-09-29 00:00:00
5, wnet,3,2008-03-14 00:00:00,2008-03-17 00:00:00
6, lioke,7,2011-01-11 00:00:00,2011-01-18 00:00:00
7, accessdate,2482,2009-02-03 00:00:00,2015-11-21 00:00:00
8, blahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahit,1,2008-10-15 00:00:00,2008-10-16 00:00:00
9, biger,4,2017-08-23 00:00:00,2017-08-27 00:00:00
10, andblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblah,1,2008-10-15 00:00:00,2008-10-16 00:00:00
11, amam,8,2017-05-08 00:00:00,2017-05-16 00:00:00
12,dosent,4,2017-05-01 00:00:00,2017-05-05 00:00:00
13,chiago,6,2006-12-02 00:00:00,2006-12-08 00:00:00
14, concering,200,2018-09-26 00:00:00,2019-04-14 00:00:00
15, macias,5,2013-12-18 00:00:00,2013-12-23 00:00:00
16, ballscentral,15,2013-07-03 00:00:00,2013-07-18 00:00:00
17, ranksaked,5,2006-11-17 00:00:00,2006-11-22 00:00:00
18,hahahaha,6,2007-02-12 00:00:00,2007-02-18 00:00:00
19, prieta,329,2007-11-23 00:00:00,2008-10-17 00:00:00
20, cheesefighters,3,2011-02-18 00:00:00,2011-02-21 00:00:00
21,cuased,1,2020-04-22 00:00:00,2020-04-23 00:00:00
22, hehehehehe,10,2014-03-31 00:00:00,2014-04-10 00:00:00
23, hahaha,1653,2008-03-14 00:00:00,2012-09-22 00:00:00
24,occured,45,2003-10-08 00:00:00,2003-11-22 00:00:00
25, blonus,2,2012-11-26 00:00:00,2012-11-28 00:00:00
26, gettin,24,2010-09-15 00:00:00,2010-10-09 00:00:00
27, incendi,108,2012-11-05 00:00:00,2013-02-21 00:00:00
28, sheahan,6122,2005-09-30 00:00:00,2022-07-05 00:00:00
29,hesaw,1,2006-10-15 00:00:00,2006-10-16 00:00:00
30, litthe,16,2017-01-17 00:00:00,2017-02-02 00:00:00
31, commiting,3,2020-01-28 00:00:00,2020-01-31 00:00:00
32, ramons,5,2016-11-18 00:00:00,2016-11-23 00:00:00
33,frction,5,2006-01-17 00:00:00,2006-01-22 00:00:00
34,commited,27,2004-05-28 00:00:00,2004-06-24 00:00:00
35,excsive,7,2006-05-11 00:00:00,2006-05-18 00:00:00
36,amature,2,2005-12-27 00:00:00,2005-12-29 00:00:00
37, plenteful,11,2008-12-16 00:00:00,2008-12-27 00:00:00
38, deselot,3,2007-09-24 00:00:00,2007-09-27 00:00:00
39, snickerdoolde,19,2018-06-07 00:00:00,2018-06-26 00:00:00
40, piecorporation,1,2007-04-11 00:00:00,2007-04-12 00:00:00
41, huec,695,2011-03-29 00:00:00,2013-02-21 00:00:00
42, burend,4,2017-08-23 00:00:00,2017-08-27 00:00:00
43, castrejon,2,2011-12-16 00:00:00,2011-12-18 00:00:00
44, cluvbs,2,2016-10-25 00:00:00,2016-10-27 00:00:00
45, sponteous,3,2006-05-08 00:00:00,2006-05-11 00:00:00
46,outpoop,4,2005-04-12 00:00:00,2005-04-16 00:00:00
47, yearz,1,2009-01-04 00:00:00,2009-01-05 00:00:00
48, scientests,1,2006-03-30 00:00:00,2006-03-31 00:00:00
49, assssss,1,2010-11-09 00:00:00,2010-11-10 00:00:00
50, ownz,5,2012-02-17 00:00:00,2012-02-22 00:00:00
51, cromie,3062,2010-05-09 00:00:00,2018-09-26 00:00:00
52, devestate,2,2011-02-05 00:00:00,2011-02-07 00:00:00
53, finahhhhhlly,2,2015-03-04 00:00:00,2015-03-06 00:00:00
54, wak,3,2017-10-19 00:00:00,2017-10-22 00:00:00
55, departme,2,2016-01-22 00:00:00,2016-01-24 00:00:00
56, cannalteyugioh,12,2013-04-19 00:00:00,2013-05-01 00:00:00
57, shrek,3,2022-02-25 00:00:00,2022-02-28 00:00:00
58, lillard,6,2011-04-26 00:00:00,2011-05-02 00:00:00
59, arguement,1,2007-06-05 00:00:00,2007-06-06 00:00:00
60,dfsvkujbfesdkuhbmndsfkughbmnasfdcjhcdsfjvhfsdvhjchgdsfppocowas,1,2007-02-06 00:00:00,2007-02-07 00:00:00
61, miney,8,2014-11-05 00:00:00,2014-11-13 00:00:00
62, humungos,3,2009-02-18 00:00:00,2009-02-21 00:00:00
63,confaguration,5,2006-01-17 00:00:00,2006-01-22 00:00:00
64,choi,6,2005-10-19 00:00:00,2005-10-25 00:00:00
65, sexxxi,6,2007-09-12 00:00:00,2007-09-18 00:00:00
66, thet,3,2021-03-05 00:00:00,2021-03-08 00:00:00
67, gmail,3,2022-02-25 00:00:00,2022-02-28 00:00:00
68, plz,2,2014-02-18 00:00:00,2014-02-20 00:00:00
69, anahi,3,2008-05-04 00:00:00,2008-05-07 00:00:00
70, involted,1,2009-01-04 00:00:00,2009-01-05 00:00:00
71,belarus,2,2011-03-31 00:00:00,2011-04-02 00:00:00
72, erjh,1,2008-10-01 00:00:00,2008-10-02 00:00:00
73, shawnn,4,2008-10-02 00:00:00,2008-10-06 00:00:00
74, archiveurl,2390,2012-03-11 00:00:00,2018-09-26 00:00:00
75,hmmmz,1,2009-01-04 00:00:00,2009-01-05 00:00:00
76, redmoon,2830,2014-10-05 00:00:00,2022-07-05 00:00:00
77, awesomewe,1,2017-04-04 00:00:00,2017-04-05 00:00:00
78, unser,1,2015-05-29 00:00:00,2015-05-30 00:00:00
79, jconsidered,5,2009-07-20 00:00:00,2009-07-25 00:00:00
80, commited,1,2012-05-08 00:00:00,2012-05-09 00:00:00
81,homie,1,2006-11-22 00:00:00,2006-11-23 00:00:00
82,accessidate,1,2008-01-29 00:00:00,2008-01-30 00:00:00
83, fhhhhhhhhhhlames,1,2019-02-05 00:00:00,2019-02-06 00:00:00
84, nesscessarly,1,2007-06-05 00:00:00,2007-06-06 00:00:00
85, badies,2,2009-02-13 00:00:00,2009-02-15 00:00:00
86, megalodons,5,2018-12-05 00:00:00,2018-12-10 00:00:00
87, url,4210,2007-03-18 00:00:00,2018-09-26 00:00:00
88, themself,1,2012-05-08 00:00:00,2012-05-09 00:00:00
89, spie,1,2007-04-11 00:00:00,2007-04-12 00:00:00
90,cunthoe,3,2007-02-02 00:00:00,2007-02-05 00:00:00
91, notaro,1,2007-12-02 00:00:00,2007-12-03 00:00:00
92,cerdos,1,2007-03-29 00:00:00,2007-03-30 00:00:00
93,bkah,1,2007-02-06 00:00:00,2007-02-07 00:00:00
94, greenpeace,2,2011-03-31 00:00:00,2011-04-02 00:00:00
95, ushut,4,2013-09-17 00:00:00,2013-09-21 00:00:00
96, iim,5,2006-01-17 00:00:00,2006-01-22 00:00:00
97, yolooo,1,2012-10-05 00:00:00,2012-10-06 00:00:00
98, blahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahsoon,1,2008-10-15 00:00:00,2008-10-16 00:00:00
99, tichner,1,2007-02-21 00:00:00,2007-02-22 00:00:00
100, doin,17,2015-09-15 00:00:00,2015-10-02 00:00:00
101, bridglolna,1,2016-07-03 00:00:00,2016-07-04 00:00:00
102, stokey,349,2018-06-26 00:00:00,2019-06-10 00:00:00
103, wftas,2,2012-05-21 00:00:00,2012-05-23 00:00:00
104, ahit,1,2008-10-15 00:00:00,2008-10-16 00:00:00
105,acked,6,2006-03-21 00:00:00,2006-03-27 00:00:00
106, incendiu,540,2011-08-31 00:00:00,2013-02-21 00:00:00
107, chicagodick,1,2016-04-25 00:00:00,2016-04-26 00:00:00
108, wky,2,2008-02-15 00:00:00,2008-02-17 00:00:00
109, wikipedia,4829,2007-11-13 00:00:00,2021-02-01 00:00:00
110, errybody,1,2018-04-02 00:00:00,2018-04-03 00:00:00
111,crazyed,1,2006-12-30 00:00:00,2006-12-31 00:00:00
112, triston,4,2010-12-01 00:00:00,2010-12-05 00:00:00
113, isall,9,2012-10-18 00:00:00,2012-10-27 00:00:00
114, huhu,28,2014-12-16 00:00:00,2015-01-13 00:00:00
115, angelas,1,2018-02-13 00:00:00,2018-02-14 00:00:00
116, andys,1,2008-09-17 00:00:00,2008-09-18 00:00:00
117, perps,1667,2017-12-11 00:00:00,2022-07-05 00:00:00
118, lantrn,7,2006-05-11 00:00:00,2006-05-18 00:00:00
119, simmoms,1,2009-01-04 00:00:00,2009-01-05 00:00:00
120, happend,1164,2010-10-04 00:00:00,2013-12-11 00:00:00
121, knowcking,2,2009-11-03 00:00:00,2009-11-05 00:00:00
122, incendio,1948,2007-10-23 00:00:00,2013-02-21 00:00:00
123, dunald,1,2018-09-10 00:00:00,2018-09-11 00:00:00
124, askn,13,2010-08-14 00:00:00,2010-08-27 00:00:00
125,blogs,1378,2018-09-26 00:00:00,2022-07-05 00:00:00
126, poopst,3,2013-02-27 00:00:00,2013-03-02 00:00:00
127, ooohh,1,2009-01-04 00:00:00,2009-01-05 00:00:00
128, johs,1,2009-02-27 00:00:00,2009-02-28 00:00:00
129, origional,1,2004-04-28 00:00:00,2004-04-29 00:00:00
130, chompy,397,2007-08-29 00:00:00,2008-09-29 00:00:00
131, noballsrth,2,2009-10-12 00:00:00,2009-10-14 00:00:00
132, kanye,607,2009-11-03 00:00:00,2011-07-03 00:00:00
133, saurus,5,2019-12-05 00:00:00,2019-12-10 00:00:00
134,flopy,2,2006-12-24 00:00:00,2006-12-26 00:00:00
135, chigo,13,2021-09-24 00:00:00,2021-10-07 00:00:00
136, carviyon,8,2016-09-16 00:00:00,2016-09-24 00:00:00
137, northside,6,2006-12-02 00:00:00,2006-12-08 00:00:00
138, sthhhhreet,8,2017-05-08 00:00:00,2017-05-16 00:00:00
139, castiel,9,2010-07-24 00:00:00,2010-08-02 00:00:00
140, memorialhahahahaahahs,7,2010-04-28 00:00:00,2010-05-05 00:00:00
141,grandae,1,2006-10-12 00:00:00,2006-10-13 00:00:00
142,moomoo,10,2006-02-01 00:00:00,2006-02-11 00:00:00
143, chiken,3,2011-01-24 00:00:00,2011-01-27 00:00:00
144, milleniums,3,2007-09-24 00:00:00,2007-09-27 00:00:00
145, statment,1,2008-04-08 00:00:00,2008-04-09 00:00:00
146, hgjdfvtrycvuervucywp,4,2016-06-25 00:00:00,2016-06-29 00:00:00
147, resond,1,2007-01-14 00:00:00,2007-01-15 00:00:00
148, pooo,13,2021-01-08 00:00:00,2021-01-21 00:00:00
149,actully,2,2009-02-13 00:00:00,2009-02-15 00:00:00
150, wascgbjghjfghjfghjfghjfghjghjnghjhgjghjghjghgj,1,2009-02-09 00:00:00,2009-02-10 00:00:00
151, madhad,3,2008-04-03 00:00:00,2008-04-06 00:00:00
152, reperduce,4,2010-11-27 00:00:00,2010-12-01 00:00:00
153, rende,3,2015-09-09 00:00:00,2015-09-12 00:00:00
154,absolutealy,3,2015-11-18 00:00:00,2015-11-21 00:00:00
155, zureikat,1,2011-07-02 00:00:00,2011-07-03 00:00:00
156, ignatious,6,2011-05-16 00:00:00,2011-05-22 00:00:00
157, woofwas,3,2022-02-25 00:00:00,2022-02-28 00:00:00
158, admbluetted,4,2008-03-30 00:00:00,2008-04-03 00:00:00
159, saers,5,2008-05-20 00:00:00,2008-05-25 00:00:00
160, exstinguish,3,2009-10-05 00:00:00,2009-10-08 00:00:00
161, carewhat,2,2010-02-27 00:00:00,2010-03-01 00:00:00
162, olsmsted,249,2013-02-23 00:00:00,2013-10-30 00:00:00
163,quadrangole,1,2007-04-18 00:00:00,2007-04-19 00:00:00
164, chicgao,17,2021-10-23 00:00:00,2021-11-09 00:00:00
165, dupa,1,2007-03-28 00:00:00,2007-03-29 00:00:00
166, emn,1,2007-12-02 00:00:00,2007-12-03 00:00:00
167,doin,1,2006-10-07 00:00:00,2006-10-08 00:00:00
168, chegrgrgqthgrtgrhegthregthregtrhwer,6,2011-04-26 00:00:00,2011-05-02 00:00:00
169, chicagio,2,2008-02-15 00:00:00,2008-02-17 00:00:00
170, frewen,11,2015-11-27 00:00:00,2015-12-08 00:00:00
171,abaker,2,2009-02-03 00:00:00,2009-02-05 00:00:00
172, ofdeadmans,2,2015-11-25 00:00:00,2015-11-27 00:00:00
173, thehe,3,2012-10-14 00:00:00,2012-10-17 00:00:00
174, destroied,4,2012-02-22 00:00:00,2012-02-26 00:00:00
175, spongebob,5,2011-05-22 00:00:00,2011-05-27 00:00:00
176, valasques,1,2007-03-29 00:00:00,2007-03-30 00:00:00
177, jjj,1,2007-04-04 00:00:00,2007-04-05 00:00:00
178, daysdonations,3,2014-03-15 00:00:00,2014-03-18 00:00:00
179, fireh,1,2018-10-05 00:00:00,2018-10-06 00:00:00
180, peapeld,1,2016-07-03 00:00:00,2016-07-04 00:00:00
181, jidhgufiqwulcoyfjwkntur,3,2008-05-04 00:00:00,2008-05-07 00:00:00
182, eet,1,2019-01-16 00:00:00,2019-01-17 00:00:00
183, devo,3,2009-04-24 00:00:00,2009-04-27 00:00:00
184, crahan,4,2008-10-02 00:00:00,2008-10-06 00:00:00
185, olearys,2947,2012-09-22 00:00:00,2020-10-17 00:00:00
186, explainnsive,2,2018-10-15 00:00:00,2018-10-17 00:00:00
187, rebuilted,4,2010-12-15 00:00:00,2010-12-19 00:00:00
188, lanter,1,2020-01-27 00:00:00,2020-01-28 00:00:00
189, cource,3,2016-12-05 00:00:00,2016-12-08 00:00:00
190, illionois,1,2015-10-22 00:00:00,2015-10-23 00:00:00
191, deleteing,1,2004-04-28 00:00:00,2004-04-29 00:00:00
192, upsus,1,2006-11-22 00:00:00,2006-11-23 00:00:00
193, gamestop,12,2013-04-19 00:00:00,2013-05-01 00:00:00
194,quinlin,1,2006-04-04 00:00:00,2006-04-05 00:00:00
195, lalalalala,1,2007-11-27 00:00:00,2007-11-28 00:00:00
196, idk,1,2009-01-04 00:00:00,2009-01-05 00:00:00
197, freedomland,610,2010-10-08 00:00:00,2012-06-09 00:00:00
198, dpartment,2,2009-05-18 00:00:00,2009-05-20 00:00:00
199, downtwon,2,2009-10-07 00:00:00,2009-10-09 00:00:00
200, reconizable,1,2012-04-09 00:00:00,2012-04-10 00:00:00
201, disgarding,4,2008-10-25 00:00:00,2008-10-29 00:00:00
202, neuclear,1,2007-11-20 00:00:00,2007-11-21 00:00:00
203, sdsddfsdfsfsdf,2,2005-04-10 00:00:00,2005-04-12 00:00:00
204, sexo,1,2007-03-29 00:00:00,2007-03-30 00:00:00
205,cyms,5,2006-01-17 00:00:00,2006-01-22 00:00:00
206,wetwater,1,2017-12-01 00:00:00,2017-12-02 00:00:00
207, wassup,10,2022-02-11 00:00:00,2022-02-21 00:00:00
208,google,1,2016-11-10 00:00:00,2016-11-11 00:00:00
209, austins,5,2016-11-18 00:00:00,2016-11-23 00:00:00
210, cowonly,3,2007-09-24 00:00:00,2007-09-27 00:00:00
211, iit,801,2009-10-08 00:00:00,2011-12-18 00:00:00
212, fireballswood,2,2009-10-12 00:00:00,2009-10-14 00:00:00
213, berko,1,2017-09-07 00:00:00,2017-09-08 00:00:00
214, orenges,1,2018-04-02 00:00:00,2018-04-03 00:00:00
215, allday,1,2009-10-05 00:00:00,2009-10-06 00:00:00
216, ballin,24,2010-09-15 00:00:00,2010-10-09 00:00:00
217, oreo,1,2007-04-03 00:00:00,2007-04-04 00:00:00
218,austn,1,2019-02-06 00:00:00,2019-02-07 00:00:00
219,abdo,17,2021-10-23 00:00:00,2021-11-09 00:00:00
220, saltonstall,6845,2003-10-08 00:00:00,2022-07-05 00:00:00
221,becuase,1,2007-02-21 00:00:00,2007-02-22 00:00:00
222, hdfzg,1,2008-10-01 00:00:00,2008-10-02 00:00:00
223, hfiwt,6,2018-12-10 00:00:00,2018-12-16 00:00:00
224, pooing,1,2010-02-26 00:00:00,2010-02-27 00:00:00
225, wangs,3,2010-01-14 00:00:00,2010-01-17 00:00:00
226, loughrige,13,2010-09-16 00:00:00,2010-09-29 00:00:00
227, ungly,1,2006-10-12 00:00:00,2006-10-13 00:00:00
228, deadurl,2320,2012-05-20 00:00:00,2018-09-26 00:00:00
229, und,33,2014-12-11 00:00:00,2015-01-13 00:00:00
230, roomate,5,2006-09-29 00:00:00,2006-10-04 00:00:00
231, suuri,1517,2008-12-27 00:00:00,2013-02-21 00:00:00
232, immagrants,3,2011-01-19 00:00:00,2011-01-22 00:00:00
233, lantren,5,2014-09-05 00:00:00,2014-09-10 00:00:00
234, kaylin,1,2007-01-21 00:00:00,2007-01-22 00:00:00
235, meup,1,2006-12-30 00:00:00,2006-12-31 00:00:00
236, fuckwas,3,2009-03-21 00:00:00,2009-03-24 00:00:00
237, ioj,4,2010-09-30 00:00:00,2010-10-04 00:00:00
238, furk,1,2013-02-10 00:00:00,2013-02-11 00:00:00
239, wikapidia,2,2018-09-19 00:00:00,2018-09-21 00:00:00
240, queations,1,2007-11-13 00:00:00,2007-11-14 00:00:00
241, false,3,2010-01-17 00:00:00,2010-01-20 00:00:00
242, encotleft,6,2011-04-26 00:00:00,2011-05-02 00:00:00
243, yall,1964,2009-01-04 00:00:00,2014-05-22 00:00:00
244, raely,1,2009-04-29 00:00:00,2009-04-30 00:00:00
245, coolio,1,2008-04-10 00:00:00,2008-04-11 00:00:00
246, glof,2,2016-10-25 00:00:00,2016-10-27 00:00:00
247, lareira,2,2018-10-23 00:00:00,2018-10-25 00:00:00
248, xoxo,2,2008-02-12 00:00:00,2008-02-14 00:00:00
249, mexicains,4,2010-11-27 00:00:00,2010-12-01 00:00:00
250, happeneed,4,2010-11-27 00:00:00,2010-12-01 00:00:00
251, anthonyis,9,2012-03-26 00:00:00,2012-04-04 00:00:00
252, richtor,1,2007-03-04 00:00:00,2007-03-05 00:00:00
253, halluu,28,2014-12-16 00:00:00,2015-01-13 00:00:00
254, asdjsdfadasfdjash,1,2007-11-27 00:00:00,2007-11-28 00:00:00
255, wmnrcar,8,2017-05-08 00:00:00,2017-05-16 00:00:00
256,firebaginus,10,2006-01-22 00:00:00,2006-02-01 00:00:00
257, cheeseiness,3,2011-02-18 00:00:00,2011-02-21 00:00:00
258, noooooooooooooooo,2,2010-01-11 00:00:00,2010-01-13 00:00:00
259,govermint,1,2006-09-06 00:00:00,2006-09-07 00:00:00
260, ithad,1,2008-11-06 00:00:00,2008-11-07 00:00:00
261, nasar,1,2007-03-29 00:00:00,2007-03-30 00:00:00
262, idkkk,3,2014-03-12 00:00:00,2014-03-15 00:00:00
263, georgio,1,2019-02-05 00:00:00,2019-02-06 00:00:00
264, uch,6,2006-03-21 00:00:00,2006-03-27 00:00:00
265, sundayto,1,2009-11-16 00:00:00,2009-11-17 00:00:00
266, walmartian,5,2020-09-10 00:00:00,2020-09-15 00:00:00
267, mixtape,593,2015-03-14 00:00:00,2016-10-27 00:00:00
268,aproximately,1,2020-01-27 00:00:00,2020-01-28 00:00:00
269, sayin,19,2009-06-20 00:00:00,2009-07-09 00:00:00
270, espn,7,2010-11-10 00:00:00,2010-11-17 00:00:00
271, stds,1,2009-07-19 00:00:00,2009-07-20 00:00:00
272, kayli,1,2015-10-07 00:00:00,2015-10-08 00:00:00
273, debartolo,4440,2010-05-09 00:00:00,2022-07-05 00:00:00
274, stora,2099,2006-01-09 00:00:00,2011-10-09 00:00:00
275, clunie,1,2007-10-03 00:00:00,2007-10-04 00:00:00
276, ksjsjhshshshsusnusnsmore,11,2016-06-14 00:00:00,2016-06-25 00:00:00
277, waterstorm,3,2006-11-29 00:00:00,2006-12-02 00:00:00
278, disgarded,4,2008-10-25 00:00:00,2008-10-29 00:00:00
279, fasination,1,2011-02-01 00:00:00,2011-02-02 00:00:00
280, criticzed,21,2012-06-07 00:00:00,2012-06-28 00:00:00
281, ngbbbbnof,1,2017-03-01 00:00:00,2017-03-02 00:00:00
282, fartin,1,2014-02-03 00:00:00,2014-02-04 00:00:00
283, suddam,1,2007-04-03 00:00:00,2007-04-04 00:00:00
284, tradgical,1,2008-02-04 00:00:00,2008-02-05 00:00:00
285, eballsven,2,2009-10-12 00:00:00,2009-10-14 00:00:00
