,word,duration,sd,ed
0,,540,09/09/02 0:00,02/03/04 0:00
1, divisio,290,16/12/07 0:00,01/10/08 0:00
2, hahahahaha,28,17/11/10 0:00,15/12/10 0:00
3, officinalis,2443,16/12/07 0:00,24/08/14 0:00
4, liriodendroidae,33,30/01/06 0:00,04/03/06 0:00
6, magnoioideae,3806,05/03/06 0:00,05/08/16 0:00
7, lightgreen,768,30/01/06 0:00,08/03/08 0:00
8,divisio,685,30/01/06 0:00,16/12/07 0:00
9, wndy,4930,03/01/09 0:00,04/07/22 0:00
10, taxobox,2207,18/06/16 0:00,04/07/22 0:00
11, monophyly,384,16/12/07 0:00,03/01/09 0:00
12, ndhf,3722,16/12/07 0:00,23/02/18 0:00
13, pmid,3908,22/10/11 0:00,04/07/22 0:00
14, cucumbertree,2583,08/06/15 0:00,04/07/22 0:00
15, kmeria,30,16/12/07 0:00,15/01/08 0:00
16, paraphyletic,4170,16/12/07 0:00,17/05/19 0:00
17, systematists,5314,16/12/07 0:00,04/07/22 0:00
18, monogeneric,5109,28/02/04 0:00,23/02/18 0:00
19,cpdna,5314,16/12/07 0:00,04/07/22 0:00
20, jstor,4417,31/05/10 0:00,04/07/22 0:00
21,liriodendroidae,702,28/02/04 0:00,30/01/06 0:00
22, thien,50,01/05/05 0:00,20/06/05 0:00
23, phytotaxa,19,20/05/16 0:00,08/06/16 0:00
24, etario,3169,05/08/11 0:00,08/04/20 0:00
25, magnolioideae,6701,28/02/04 0:00,04/07/22 0:00
