,word,duration,sd,ed
0,,2804,2005-02-16 00:00:00,2012-10-21 00:00:00
1, dmy,1759,2017-09-09 00:00:00,2022-07-04 00:00:00
2, christus,65,2014-05-03 00:00:00,2014-07-07 00:00:00
3, oecumenicum,220,2018-06-24 00:00:00,2019-01-30 00:00:00
4,sacramentals,1089,2002-02-24 00:00:00,2005-02-17 00:00:00
5, henk,65,2014-05-03 00:00:00,2014-07-07 00:00:00
6, mathijs,65,2014-05-03 00:00:00,2014-07-07 00:00:00
7, vaticanum,220,2018-06-24 00:00:00,2019-01-30 00:00:00
8,corre,1,2011-02-17 00:00:00,2011-02-18 00:00:00
9, jungmann,3105,2014-01-02 00:00:00,2022-07-04 00:00:00
10, consilium,1716,2017-10-22 00:00:00,2022-07-04 00:00:00
11, sacrae,1602,2018-02-13 00:00:00,2022-07-04 00:00:00
12, exsequendam,1716,2017-10-22 00:00:00,2022-07-04 00:00:00
13,alberigo,65,2014-05-03 00:00:00,2014-07-07 00:00:00
14, orbis,65,2014-05-03 00:00:00,2014-07-07 00:00:00
15, heythrop,65,2014-05-03 00:00:00,2014-07-07 00:00:00
16,adoremus,1602,2018-02-13 00:00:00,2022-07-04 00:00:00
17, sacrosanctum,1389,2014-01-02 00:00:00,2017-10-22 00:00:00
18, komonchak,65,2014-05-03 00:00:00,2014-07-07 00:00:00
19, koester,65,2014-05-03 00:00:00,2014-07-07 00:00:00
20, vaticana,1716,2017-10-22 00:00:00,2022-07-04 00:00:00
21, hereder,1201,2014-01-02 00:00:00,2017-04-17 00:00:00
22, antonelli,65,2014-05-03 00:00:00,2014-07-07 00:00:00
23,jungmann,559,2012-10-21 00:00:00,2014-05-03 00:00:00
24,commmentary,139,2007-11-28 00:00:00,2008-04-15 00:00:00
25, cristianesimo,65,2014-05-03 00:00:00,2014-07-07 00:00:00
26, eerdmans,65,2014-05-03 00:00:00,2014-07-07 00:00:00
27, amerio,1602,2018-02-13 00:00:00,2022-07-04 00:00:00
28, sinke,1389,2014-01-02 00:00:00,2017-10-22 00:00:00
29, sacramentals,512,2021-02-07 00:00:00,2022-07-04 00:00:00
30, sancrosanctum,34,2012-11-20 00:00:00,2012-12-24 00:00:00
31, vorgrimler,2984,2014-05-03 00:00:00,2022-07-04 00:00:00
32, sollecitudini,1602,2018-02-13 00:00:00,2022-07-04 00:00:00
33, liturgica,65,2014-05-03 00:00:00,2014-07-07 00:00:00
34, giz,81,2008-01-25 00:00:00,2008-04-15 00:00:00
35, ferdinando,65,2014-05-03 00:00:00,2014-07-07 00:00:00
36, hillenbrand,65,2014-05-03 00:00:00,2014-07-07 00:00:00
37, orientalium,65,2014-05-03 00:00:00,2014-07-07 00:00:00
38, editrice,1716,2017-10-22 00:00:00,2022-07-04 00:00:00
39, liturgia,1716,2017-10-22 00:00:00,2022-07-04 00:00:00
40,amerio,1503,2014-01-02 00:00:00,2018-02-13 00:00:00
41, constitutionem,1716,2017-10-22 00:00:00,2022-07-04 00:00:00
