,word,duration,sd,ed
0,,114,25/02/02 0:00,19/06/02 0:00
1, originnally,5,19/06/02 0:00,24/06/02 0:00
3, habsburgs,5029,27/09/08 0:00,05/07/22 0:00
4, ostrogoths,2,23/01/07 0:00,25/01/07 0:00
5, gebhard,2142,23/08/16 0:00,05/07/22 0:00
6, robertiner,5664,01/01/07 0:00,05/07/22 0:00
7, jasomirgott,3279,19/06/02 0:00,11/06/11 0:00
8, habsburger,475,17/03/21 0:00,05/07/22 0:00
9, luitpolding,2142,23/08/16 0:00,05/07/22 0:00
10, inheritence,414,19/02/20 0:00,08/04/21 0:00
11, babenbergs,7321,19/06/02 0:00,05/07/22 0:00
12, henneberg,5628,06/02/07 0:00,05/07/22 0:00
13, babenberger,7321,19/06/02 0:00,05/07/22 0:00
14, decended,2,23/02/02 0:00,25/02/02 0:00
15, stift,2723,06/09/05 0:00,19/02/13 0:00
16, geschichte,95,19/06/02 0:00,22/09/02 0:00
17, przemysl,2,23/02/02 0:00,25/02/02 0:00
18, babenburgs,12,14/03/09 0:00,26/03/09 0:00
20, wittelsbach,2,23/02/02 0:00,25/02/02 0:00
21,adalhard,2142,23/08/16 0:00,05/07/22 0:00
22, ottakar,932,19/06/02 0:00,06/01/05 0:00
23, url,1,14/01/22 0:00,15/01/22 0:00
24, conradine,6304,01/04/05 0:00,05/07/22 0:00
25, swabians,2,23/01/07 0:00,25/01/07 0:00
27, titess,10,11/12/08 0:00,21/12/08 0:00
28, und,7321,19/06/02 0:00,05/07/22 0:00
29, originaly,2,23/02/02 0:00,25/02/02 0:00
30, popponids,3955,06/09/11 0:00,05/07/22 0:00
31, robertian,2142,23/08/16 0:00,05/07/22 0:00
32, liutpold,90,24/06/02 0:00,22/09/02 0:00
33, hatto,7321,19/06/02 0:00,05/07/22 0:00
34, freising,1,19/06/02 0:00,20/06/02 0:00
35, imperoal,14,19/06/06 0:00,03/07/06 0:00
36, robertians,166,10/03/07 0:00,23/08/07 0:00
37, bavarians,2,23/01/07 0:00,25/01/07 0:00
39, ihrer,95,19/06/02 0:00,22/09/02 0:00
40, conradines,6304,01/04/05 0:00,05/07/22 0:00
41, hapsburgs,12,14/03/09 0:00,26/03/09 0:00
