,word,duration,sd,ed
0,,1949,2003-01-01 00:00:00,2008-05-03 00:00:00
1, ahahaha,1,2008-05-02 00:00:00,2008-05-03 00:00:00
2, bex,32,2006-08-16 00:00:00,2006-09-17 00:00:00
3, insigniasize,861,2020-02-25 00:00:00,2022-07-05 00:00:00
4, taliban,15,2021-11-16 00:00:00,2021-12-01 00:00:00
5, bardata,1488,2018-06-08 00:00:00,2022-07-05 00:00:00
6, bikeradar,2231,2016-05-26 00:00:00,2022-07-05 00:00:00
7, pedestrianisation,4,2016-05-25 00:00:00,2016-05-29 00:00:00
8, balayev,423,2021-05-08 00:00:00,2022-07-05 00:00:00
9, groupon,16,2021-01-29 00:00:00,2021-02-14 00:00:00
10, democrate,1,2008-03-30 00:00:00,2008-03-31 00:00:00
11, incompetant,105,2010-05-01 00:00:00,2010-08-14 00:00:00
12, rlly,4,2015-09-28 00:00:00,2015-10-02 00:00:00
13,actioned,867,2005-12-18 00:00:00,2008-05-03 00:00:00
14, thpviously,1,2016-05-06 00:00:00,2016-05-07 00:00:00
15, khouri,792,2020-05-04 00:00:00,2022-07-05 00:00:00
16, jheeeeeeeeeeeze,11,2011-09-14 00:00:00,2011-09-25 00:00:00
17, selfservative,5,2020-06-13 00:00:00,2020-06-18 00:00:00
18, bohnson,12,2021-04-06 00:00:00,2021-04-18 00:00:00
19,ansd,1,2016-05-26 00:00:00,2016-05-27 00:00:00
20, defunded,2,2020-07-25 00:00:00,2020-07-27 00:00:00
21, paddick,183,2011-09-02 00:00:00,2012-03-03 00:00:00
22, nooo,3,2021-12-16 00:00:00,2021-12-19 00:00:00
23, timeaxis,1488,2018-06-08 00:00:00,2022-07-05 00:00:00
24, countrys,2,2016-05-10 00:00:00,2016-05-12 00:00:00
25, renacre,1,2016-05-26 00:00:00,2016-05-27 00:00:00
26,dmy,466,2012-08-27 00:00:00,2013-12-06 00:00:00
27, totalpercent,423,2021-05-08 00:00:00,2022-07-05 00:00:00
28, binface,423,2021-05-08 00:00:00,2022-07-05 00:00:00
29,alignbars,1488,2018-06-08 00:00:00,2022-07-05 00:00:00
30, scalemajor,1488,2018-06-08 00:00:00,2022-07-05 00:00:00
31, ruislip,2658,2015-03-26 00:00:00,2022-07-05 00:00:00
32, opik,837,2010-06-04 00:00:00,2012-09-18 00:00:00
33, obunge,423,2021-05-08 00:00:00,2022-07-05 00:00:00
34, namegovernment,3,2021-12-16 00:00:00,2021-12-19 00:00:00
35, iwca,479,2006-03-16 00:00:00,2007-07-08 00:00:00
