,word,duration,sd,ed
0,,1609,2002-12-17 00:00:00,2007-05-14 00:00:00
1, opticalprop,4746,2009-07-07 00:00:00,2022-07-05 00:00:00
2, boxwidth,1347,2009-07-07 00:00:00,2013-03-15 00:00:00
3, harzburg,1890,2009-07-07 00:00:00,2014-09-09 00:00:00
4,imagesize,1809,2017-07-22 00:00:00,2022-07-05 00:00:00
5, shrek,428,2014-09-09 00:00:00,2015-11-11 00:00:00
6,seperated,121,2006-01-08 00:00:00,2006-05-09 00:00:00
7,boxbgcolor,1347,2009-07-07 00:00:00,2013-03-15 00:00:00
8, strunz,3399,2013-03-15 00:00:00,2022-07-05 00:00:00
9, obssesed,1,2010-02-24 00:00:00,2010-02-25 00:00:00
10, imasymbol,138,2022-02-17 00:00:00,2022-07-05 00:00:00
11,epidpte,3722,2007-05-14 00:00:00,2017-07-22 00:00:00
12, webmineral,4746,2009-07-07 00:00:00,2022-07-05 00:00:00
13, imagesize,1347,2009-07-07 00:00:00,2013-03-15 00:00:00
14, url,1,2022-01-14 00:00:00,2022-01-15 00:00:00
15, prehn,1326,2009-07-07 00:00:00,2013-02-22 00:00:00
16, epidpte,1347,2009-07-07 00:00:00,2013-03-15 00:00:00
17, obbsedded,1,2010-02-24 00:00:00,2010-02-25 00:00:00
18, mohs,4746,2009-07-07 00:00:00,2022-07-05 00:00:00
19, molweight,1890,2009-07-07 00:00:00,2014-09-09 00:00:00
