,word,duration,sd,ed
0,,1911,2002-02-25 00:00:00,2007-05-21 00:00:00
1, pillole,2,2017-12-09 00:00:00,2017-12-11 00:00:00
2, fihsrafhdf,3,2008-11-26 00:00:00,2008-11-29 00:00:00
3, numismatica,15,2021-01-24 00:00:00,2021-02-08 00:00:00
4, icecream,6,2016-06-01 00:00:00,2016-06-07 00:00:00
5, toffe,122,2007-07-10 00:00:00,2007-11-09 00:00:00
6, peniscannoli,15,2010-09-23 00:00:00,2010-10-08 00:00:00
7, raddish,3,2010-01-29 00:00:00,2010-02-01 00:00:00
8, canoli,207,2007-10-22 00:00:00,2008-05-16 00:00:00
9, vmnjcn,12,2011-01-07 00:00:00,2011-01-19 00:00:00
10, sulle,15,2021-01-24 00:00:00,2021-02-08 00:00:00
11,toooki,5,2006-04-06 00:00:00,2006-04-11 00:00:00
12, cannolo,5095,2007-02-27 00:00:00,2021-02-08 00:00:00
13,erwing,29,2008-02-28 00:00:00,2008-03-28 00:00:00
14,chocolmoms,5,2011-12-07 00:00:00,2011-12-12 00:00:00
15, enna,6,2016-06-01 00:00:00,2016-06-07 00:00:00
16, ragazzi,15,2021-01-24 00:00:00,2021-02-08 00:00:00
17, bourdain,628,2007-03-04 00:00:00,2008-11-21 00:00:00
18, cerere,6,2016-06-01 00:00:00,2016-06-07 00:00:00
19, xyanniahn,13,2014-12-14 00:00:00,2014-12-27 00:00:00
20, itagtdjkyxlians,18,2013-06-22 00:00:00,2013-07-10 00:00:00
21, batali,628,2007-03-04 00:00:00,2008-11-21 00:00:00
22,corleone,6,2006-06-09 00:00:00,2006-06-15 00:00:00
23, videomakers,15,2021-01-24 00:00:00,2021-02-08 00:00:00
24, oli,2,2013-01-26 00:00:00,2013-01-28 00:00:00
25, roomates,1,2007-02-06 00:00:00,2007-02-07 00:00:00
26, perfetti,2844,2014-09-20 00:00:00,2022-07-04 00:00:00
27,classifica,1805,2017-07-25 00:00:00,2022-07-04 00:00:00
28, tubi,16,2020-01-14 00:00:00,2020-01-30 00:00:00
29, procces,12,2011-01-07 00:00:00,2011-01-19 00:00:00
30, peiner,29,2016-05-03 00:00:00,2016-06-01 00:00:00
31,crapand,14,2006-05-02 00:00:00,2006-05-16 00:00:00
32,canns,9,2018-02-16 00:00:00,2018-02-25 00:00:00
33, classifica,2356,2014-09-20 00:00:00,2021-03-03 00:00:00
34, ommited,6,2008-10-23 00:00:00,2008-10-29 00:00:00
35, enac,15,2021-01-24 00:00:00,2021-02-08 00:00:00
36,chciken,5,2018-10-29 00:00:00,2018-11-03 00:00:00
37, mascarpone,586,2006-09-01 00:00:00,2008-04-09 00:00:00
38,abruzzo,731,2015-02-05 00:00:00,2017-02-05 00:00:00
39,abbiamo,15,2021-01-24 00:00:00,2021-02-08 00:00:00
40, guiness,43,2012-11-23 00:00:00,2013-01-05 00:00:00
41, cino,48,2016-06-15 00:00:00,2016-08-02 00:00:00
42, mostate,5,2011-12-07 00:00:00,2011-12-12 00:00:00
43,cannolis,4485,2008-11-21 00:00:00,2021-03-03 00:00:00
44, rican,3,2012-02-28 00:00:00,2012-03-02 00:00:00
45, caprio,47,2012-03-07 00:00:00,2012-04-23 00:00:00
46, oooooooo,6,2010-11-09 00:00:00,2010-11-15 00:00:00
47, suo,1290,2014-06-04 00:00:00,2017-12-15 00:00:00
48, possbily,6,2006-06-09 00:00:00,2006-06-15 00:00:00
49, daz,25,2007-07-10 00:00:00,2007-08-04 00:00:00
50, chineese,13,2014-12-14 00:00:00,2014-12-27 00:00:00
51,altobello,896,2006-06-09 00:00:00,2008-11-21 00:00:00
52, askdjhaskfgaldfbihgsaodigbh,1,2008-10-04 00:00:00,2008-10-05 00:00:00
53, canelli,4,2015-03-17 00:00:00,2015-03-21 00:00:00
54, delicatezza,1290,2014-06-04 00:00:00,2017-12-15 00:00:00
55, xiannyahn,13,2014-12-14 00:00:00,2014-12-27 00:00:00
56,aaaaaa,13,2009-04-13 00:00:00,2009-04-26 00:00:00
57, lov,12,2011-01-07 00:00:00,2011-01-19 00:00:00
58, sheetheads,48,2016-02-17 00:00:00,2016-04-05 00:00:00
59, jizz,2,2010-01-10 00:00:00,2010-01-12 00:00:00
60, napoletani,16,2020-01-14 00:00:00,2020-01-30 00:00:00
61, marscarpone,1,2009-09-08 00:00:00,2009-09-09 00:00:00
62, splenderously,2,2007-10-22 00:00:00,2007-10-24 00:00:00
63,butthole,8,2011-11-04 00:00:00,2011-11-12 00:00:00
64, tentativo,2844,2014-09-20 00:00:00,2022-07-04 00:00:00
65, countrys,36,2017-10-18 00:00:00,2017-11-23 00:00:00
66, dolcezza,1290,2014-06-04 00:00:00,2017-12-15 00:00:00
67, mcmeel,1114,2014-12-27 00:00:00,2018-01-14 00:00:00
68,cheif,6,2006-06-09 00:00:00,2006-06-15 00:00:00
69, avvolge,1290,2014-06-04 00:00:00,2017-12-15 00:00:00
70, esperimento,15,2021-01-24 00:00:00,2021-02-08 00:00:00
71, imagesize,1950,2012-03-23 00:00:00,2017-07-25 00:00:00
72, tipical,15,2021-01-24 00:00:00,2021-02-08 00:00:00
73, fabrizio,15,2021-01-24 00:00:00,2021-02-08 00:00:00
74, kannoli,2365,2014-12-27 00:00:00,2021-06-18 00:00:00
75, vegimite,11,2007-09-10 00:00:00,2007-09-21 00:00:00
76, noob,13,2015-03-21 00:00:00,2015-04-03 00:00:00
77, regulary,90,2007-03-16 00:00:00,2007-06-14 00:00:00
78, scatti,25,2014-09-20 00:00:00,2014-10-15 00:00:00
79, geopark,15,2021-01-24 00:00:00,2021-02-08 00:00:00
80, corleone,240,2006-06-09 00:00:00,2007-02-04 00:00:00
81, cagnoli,7,2006-11-18 00:00:00,2006-11-25 00:00:00
82, pizzelle,113,2015-01-10 00:00:00,2015-05-03 00:00:00
83,caputre,5,2021-01-14 00:00:00,2021-01-19 00:00:00
84,candooleh,19,2019-12-24 00:00:00,2020-01-12 00:00:00
85, cialda,1290,2014-06-04 00:00:00,2017-12-15 00:00:00
86,abbraccio,1290,2014-06-04 00:00:00,2017-12-15 00:00:00
87, siciliani,2844,2014-09-20 00:00:00,2022-07-04 00:00:00
88, tshs,23,2006-12-01 00:00:00,2006-12-24 00:00:00
89, ministery,15,2021-01-24 00:00:00,2021-02-08 00:00:00
90, fagnoli,25,2017-06-30 00:00:00,2017-07-25 00:00:00
91, dicaprio,11,2012-04-23 00:00:00,2012-05-04 00:00:00
92, uomo,1290,2014-06-04 00:00:00,2017-12-15 00:00:00
93, tre,15,2021-01-24 00:00:00,2021-02-08 00:00:00
