,word,duration,sd,ed
0,,3271,2002-02-22 00:00:00,2011-02-06 00:00:00
1, hai,9,2016-11-15 00:00:00,2016-11-24 00:00:00
2, drfeyutb,17,2017-06-12 00:00:00,2017-06-29 00:00:00
3,hai,12,2016-12-06 00:00:00,2016-12-18 00:00:00
4, yhbn,17,2017-06-12 00:00:00,2017-06-29 00:00:00
5,bjts,445,2004-07-13 00:00:00,2005-10-01 00:00:00
6, mbx,6,2008-11-19 00:00:00,2008-11-25 00:00:00
7, hiing,17,2017-06-12 00:00:00,2017-06-29 00:00:00
8, darrvvdgn,17,2017-06-12 00:00:00,2017-06-29 00:00:00
9, jrttuyynjfd,17,2017-06-12 00:00:00,2017-06-29 00:00:00
10, dffryjkiokgty,17,2017-06-12 00:00:00,2017-06-29 00:00:00
11, forgion,17,2012-08-20 00:00:00,2012-09-06 00:00:00
12, kahng,1083,2019-07-17 00:00:00,2022-07-04 00:00:00
13, dhsdjsj,17,2017-06-12 00:00:00,2017-06-29 00:00:00
14, uvvkuhb,17,2017-06-12 00:00:00,2017-06-29 00:00:00
15, kaa,18,2013-02-01 00:00:00,2013-02-19 00:00:00
16,lighhtly,46,2009-09-25 00:00:00,2009-11-10 00:00:00
17, dfhd,17,2017-06-12 00:00:00,2017-06-29 00:00:00
18, weyhw,17,2017-06-12 00:00:00,2017-06-29 00:00:00
19,diodeind,48,2017-01-31 00:00:00,2017-03-20 00:00:00
20,phenomenom,165,2005-12-10 00:00:00,2006-05-24 00:00:00
21, sorout,6,2019-01-20 00:00:00,2019-01-26 00:00:00
22,bakwaas,9,2016-11-15 00:00:00,2016-11-24 00:00:00
23, gggeeetoeg,6,2008-11-19 00:00:00,2008-11-25 00:00:00
24, samjh,9,2016-11-15 00:00:00,2016-11-24 00:00:00
25, nahi,9,2016-11-15 00:00:00,2016-11-24 00:00:00
26, jemkjnwieu,17,2017-06-12 00:00:00,2017-06-29 00:00:00
27,idk,77,2018-09-08 00:00:00,2018-11-24 00:00:00
28, ewjhehwew,17,2017-06-12 00:00:00,2017-06-29 00:00:00
29, fnjfd,17,2017-06-12 00:00:00,2017-06-29 00:00:00
30, jher,17,2017-06-12 00:00:00,2017-06-29 00:00:00
31,tese,2,2011-01-08 00:00:00,2011-01-10 00:00:00
32, siffert,4,2019-07-17 00:00:00,2019-07-21 00:00:00
33, turborotor,23,2009-04-23 00:00:00,2009-05-16 00:00:00
34, oechadtion,17,2012-08-20 00:00:00,2012-09-06 00:00:00
35,emitof,17,2012-08-20 00:00:00,2012-09-06 00:00:00
36,betichod,18,2013-02-01 00:00:00,2013-02-19 00:00:00
37, hisamoto,1083,2019-07-17 00:00:00,2022-07-04 00:00:00
38,hhjn,55,2012-04-07 00:00:00,2012-06-01 00:00:00
39,regi,17,2011-11-30 00:00:00,2011-12-17 00:00:00
40, ftyhhthy,17,2017-06-12 00:00:00,2017-06-29 00:00:00
41, rws,6,2008-11-19 00:00:00,2008-11-25 00:00:00
42, semiconductorrrr,13,2019-08-08 00:00:00,2019-08-21 00:00:00
43, mosfets,6565,2004-07-13 00:00:00,2022-07-04 00:00:00
44, whigh,17,2017-06-12 00:00:00,2017-06-29 00:00:00
45, jsi,17,2017-06-12 00:00:00,2017-06-29 00:00:00
46, bnuyggh,17,2017-06-12 00:00:00,2017-06-29 00:00:00
47, fpgas,1083,2019-07-17 00:00:00,2022-07-04 00:00:00
48, hwyhw,17,2017-06-12 00:00:00,2017-06-29 00:00:00
49, jykwuy,17,2017-06-12 00:00:00,2017-06-29 00:00:00
50, dawon,1083,2019-07-17 00:00:00,2022-07-04 00:00:00
51, kamins,2057,2016-11-15 00:00:00,2022-07-04 00:00:00
52, mjjryr,17,2017-06-12 00:00:00,2017-06-29 00:00:00
53, frgtyh,17,2017-06-12 00:00:00,2017-06-29 00:00:00
54, gago,1,2015-07-29 00:00:00,2015-07-30 00:00:00
