,word,duration,sd,ed
0,,3762,2002-02-22 00:00:00,2012-06-11 00:00:00
1,haz,18,2010-03-11 00:00:00,2010-03-29 00:00:00
2, dusoruth,24,2012-02-01 00:00:00,2012-02-25 00:00:00
3, pispants,13,2010-12-06 00:00:00,2010-12-19 00:00:00
4,magnetoc,129,2007-07-06 00:00:00,2007-11-12 00:00:00
5,spfuck,2,2007-02-12 00:00:00,2007-02-14 00:00:00
6,sdgjsgsdgjksdjksd,15,2009-11-04 00:00:00,2009-11-19 00:00:00
7, cylindrique,1000,2019-10-09 00:00:00,2022-07-05 00:00:00
8, scanlab,756,2011-07-28 00:00:00,2013-08-22 00:00:00
9, chimie,1000,2019-10-09 00:00:00,2022-07-05 00:00:00
10, kya,15,2009-10-08 00:00:00,2009-10-23 00:00:00
11,accessdate,441,2011-10-07 00:00:00,2012-12-21 00:00:00
12,maxamimum,12,2008-03-05 00:00:00,2008-03-17 00:00:00
13, soit,1531,2018-04-26 00:00:00,2022-07-05 00:00:00
14, alternativly,12,2007-11-30 00:00:00,2007-12-12 00:00:00
15, manrkndkdhuhkhauj,56,2020-02-20 00:00:00,2020-04-16 00:00:00
16, url,1980,2011-10-07 00:00:00,2017-03-09 00:00:00
17, nstrument,64,2018-06-25 00:00:00,2018-08-28 00:00:00
18, mesure,1000,2019-10-09 00:00:00,2022-07-05 00:00:00
19, produit,1000,2019-10-09 00:00:00,2022-07-05 00:00:00
20, venermo,823,2019-10-09 00:00:00,2022-01-09 00:00:00
21,badoi,3,2008-11-04 00:00:00,2008-11-07 00:00:00
22, schweigger,6,2014-01-10 00:00:00,2014-01-16 00:00:00
23,dmy,3299,2010-09-27 00:00:00,2019-10-09 00:00:00
24, thorugh,12,2007-11-30 00:00:00,2007-12-12 00:00:00
25, prving,8,2016-10-11 00:00:00,2016-10-19 00:00:00
26, seul,1531,2018-04-26 00:00:00,2022-07-05 00:00:00
27, writen,4,2011-02-09 00:00:00,2011-02-13 00:00:00
28, shivendra,4,2019-01-10 00:00:00,2019-01-14 00:00:00
29,calcul,177,2022-01-09 00:00:00,2022-07-05 00:00:00
30, xddd,11,2010-03-29 00:00:00,2010-04-09 00:00:00
31, hai,15,2009-10-08 00:00:00,2009-10-23 00:00:00
32, tanget,104,2007-12-13 00:00:00,2008-03-26 00:00:00
33, onval,8,2016-10-11 00:00:00,2016-10-19 00:00:00
34, dvd,1609,2011-11-30 00:00:00,2016-04-26 00:00:00
35,rustrak,1713,2006-01-18 00:00:00,2010-09-27 00:00:00
36,insturment,1,2005-11-25 00:00:00,2005-11-26 00:00:00
37, dmy,4295,2010-10-01 00:00:00,2022-07-05 00:00:00
38, scannermax,32,2013-07-21 00:00:00,2013-08-22 00:00:00
39, empiar,1,2022-01-08 00:00:00,2022-01-09 00:00:00
40,bachodi,15,2009-10-08 00:00:00,2009-10-23 00:00:00
41,magentic,2,2007-11-30 00:00:00,2007-12-02 00:00:00
42, nervander,177,2022-01-09 00:00:00,2022-07-05 00:00:00
43,shound,84,2002-10-08 00:00:00,2002-12-31 00:00:00
44, instruuyments,33,2019-08-21 00:00:00,2019-09-23 00:00:00
45, chemie,177,2022-01-09 00:00:00,2022-07-05 00:00:00
46, lequel,1000,2019-10-09 00:00:00,2022-07-05 00:00:00
47, prennent,1531,2018-04-26 00:00:00,2022-07-05 00:00:00
48,calibratd,309,2004-03-27 00:00:00,2005-01-30 00:00:00
49, wiki,8,2016-10-11 00:00:00,2016-10-19 00:00:00
50,prennent,8,2018-12-06 00:00:00,2018-12-14 00:00:00
51, obtient,1000,2019-10-09 00:00:00,2022-07-05 00:00:00
52,electromechanicalinstrument,8,2018-12-06 00:00:00,2018-12-14 00:00:00
53, microamps,281,2004-03-27 00:00:00,2005-01-02 00:00:00
54,barcode,1708,2011-08-23 00:00:00,2016-04-26 00:00:00
55, galvanmeters,1,2014-01-16 00:00:00,2014-01-17 00:00:00
56, urrentt,56,2020-02-20 00:00:00,2020-04-16 00:00:00
57, wikipedida,18,2010-03-11 00:00:00,2010-03-29 00:00:00
58, proviennent,1531,2018-04-26 00:00:00,2022-07-05 00:00:00
59, litle,421,2014-02-06 00:00:00,2015-04-03 00:00:00
60, snd,2,2009-04-29 00:00:00,2009-05-01 00:00:00
61,chnage,8,2016-10-11 00:00:00,2016-10-19 00:00:00
62, barcode,441,2011-10-07 00:00:00,2012-12-21 00:00:00
63, gned,33,2013-04-17 00:00:00,2013-05-20 00:00:00
64, galvanometerssss,47,2017-08-24 00:00:00,2017-10-10 00:00:00
65, transitorynature,105,2016-01-12 00:00:00,2016-04-26 00:00:00
66, nabeel,9,2016-03-25 00:00:00,2016-04-03 00:00:00
67, rustrak,4173,2004-11-22 00:00:00,2016-04-26 00:00:00
68, visualising,1638,2016-04-26 00:00:00,2020-10-20 00:00:00
69, calcul,823,2019-10-09 00:00:00,2022-01-09 00:00:00
70, galvonameter,1,2013-01-13 00:00:00,2013-01-14 00:00:00
71, pouillet,6,2014-01-10 00:00:00,2014-01-16 00:00:00
72, microamperes,524,2005-01-02 00:00:00,2006-06-10 00:00:00
73, devided,1,2013-01-13 00:00:00,2013-01-14 00:00:00
74, chemische,177,2022-01-09 00:00:00,2022-07-05 00:00:00
75,defelction,25,2010-10-01 00:00:00,2010-10-26 00:00:00
76, poo,14,2012-09-25 00:00:00,2012-10-09 00:00:00
77,constment,12,2019-06-26 00:00:00,2019-07-08 00:00:00
78,fffffffuuuuuuuuucccccckkkkk,30,2006-05-11 00:00:00,2006-06-10 00:00:00
79, website,84,2002-10-08 00:00:00,2002-12-31 00:00:00
80,earliesttransatlantic,1,2017-01-30 00:00:00,2017-01-31 00:00:00
81, hebdomadaires,154,2022-02-01 00:00:00,2022-07-05 00:00:00
82,abilility,12,2007-11-30 00:00:00,2007-12-12 00:00:00
83, zakiuddin,5,2008-01-13 00:00:00,2008-01-18 00:00:00
84, dhuebki,56,2020-02-20 00:00:00,2020-04-16 00:00:00
85,attock,21,2010-04-09 00:00:00,2010-04-30 00:00:00
86,url,1,2016-04-26 00:00:00,2016-04-27 00:00:00
87,alternativly,43,2007-12-12 00:00:00,2008-01-24 00:00:00
88,annales,823,2019-10-09 00:00:00,2022-01-09 00:00:00
89, shambreen,24,2012-02-01 00:00:00,2012-02-25 00:00:00
90,analo,6,2006-02-22 00:00:00,2006-02-28 00:00:00
91, wellcome,2602,2015-05-21 00:00:00,2022-07-05 00:00:00
92, und,177,2022-01-09 00:00:00,2022-07-05 00:00:00
93, whice,1,2013-01-13 00:00:00,2013-01-14 00:00:00
94, physological,128,2022-02-27 00:00:00,2022-07-05 00:00:00
95, numer,129,2007-07-06 00:00:00,2007-11-12 00:00:00
96, madarvchod,11,2019-01-17 00:00:00,2019-01-28 00:00:00
97,microamperes,598,2005-01-02 00:00:00,2006-08-23 00:00:00
98, awais,21,2010-04-09 00:00:00,2010-04-30 00:00:00
99, djhjdvk,56,2020-02-20 00:00:00,2020-04-16 00:00:00
100, rendus,177,2022-01-09 00:00:00,2022-07-05 00:00:00
101,wuz,84,2002-10-08 00:00:00,2002-12-31 00:00:00
