,word,duration,sd,ed
0, bheinn,1112,19/06/19 0:00,05/07/22 0:00
1, headbuts,7,10/09/15 0:00,17/09/15 0:00
2, fhidhleir,1844,19/01/08 0:00,05/02/13 0:00
3, combido,30,22/07/11 0:00,21/08/11 0:00
4, hillwalkers,5249,27/08/03 0:00,09/01/18 0:00
5, chlaidheimh,2808,23/12/12 0:00,31/08/20 0:00
6, shadinavile,1,15/04/07 0:00,16/04/07 0:00
7, fearchair,3970,22/08/11 0:00,05/07/22 0:00
8, choire,1091,10/07/19 0:00,05/07/22 0:00
9, cloimbed,15,18/07/09 0:00,02/08/09 0:00
10,hillwalkers,549,25/02/02 0:00,28/08/03 0:00
11, blog,2934,23/06/14 0:00,05/07/22 0:00
12, kms,21,17/10/04 0:00,07/11/04 0:00
13,bhuidhe,1057,01/06/07 0:00,23/04/10 0:00
14, arcahic,29,04/08/05 0:00,02/09/05 0:00
15, sgurr,3569,10/09/09 0:00,19/06/19 0:00
16, dearg,6887,27/08/03 0:00,05/07/22 0:00
18, chroin,673,31/08/20 0:00,05/07/22 0:00
19, buachaille,2838,23/04/10 0:00,29/01/18 0:00
20, torridon,192,15/04/04 0:00,24/10/04 0:00
21, saor,11,22/07/16 0:00,02/08/16 0:00
22, bhuide,340,14/07/05 0:00,19/06/06 0:00
23, pronunciaton,30,29/06/19 0:00,29/07/19 0:00
24, lochnagar,2085,03/10/13 0:00,19/06/19 0:00
25, ceannaichean,4681,10/09/09 0:00,05/07/22 0:00
26, ghreadaidh,1079,22/07/19 0:00,05/07/22 0:00
27, hufalumps,7,06/07/09 0:00,13/07/09 0:00
28, mhadaidh,1079,22/07/19 0:00,05/07/22 0:00
29, wiremu,2,04/11/05 0:00,06/11/05 0:00
30, zeland,52,06/11/09 0:00,28/12/09 0:00
31, munroist,6346,18/02/05 0:00,05/07/22 0:00
32, mhicchoinnich,42,19/06/19 0:00,31/07/19 0:00
33, banachdaich,1112,19/06/19 0:00,05/07/22 0:00
34, munros,7435,25/02/02 0:00,05/07/22 0:00
35,alligin,1112,19/06/19 0:00,05/07/22 0:00
36,bhuide,397,30/04/06 0:00,01/06/07 0:00
37, etive,5860,19/06/06 0:00,05/07/22 0:00
38, mhaighdean,1104,27/06/19 0:00,05/07/22 0:00
39, mhic,3970,22/08/11 0:00,05/07/22 0:00
40, eag,1079,22/07/19 0:00,05/07/22 0:00
41, dmy,3195,05/10/13 0:00,05/07/22 0:00
42, macdhui,5365,10/10/04 0:00,19/06/19 0:00
43, recognises,5104,14/07/08 0:00,05/07/22 0:00
44, continous,224,17/10/04 0:00,29/05/05 0:00
45, tarsuinn,2933,24/06/14 0:00,05/07/22 0:00
46, ghlas,1091,10/07/19 0:00,05/07/22 0:00
47, liathach,2085,03/10/13 0:00,19/06/19 0:00
48, teallach,1112,19/06/19 0:00,05/07/22 0:00
49, yeyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,15,18/07/09 0:00,02/08/09 0:00
50, lawers,1183,27/08/03 0:00,22/11/06 0:00
51, schiehallion,1559,03/10/13 0:00,09/01/18 0:00
52, compleationist,4935,04/08/05 0:00,07/02/19 0:00
53, inacessable,163,24/09/09 0:00,06/03/10 0:00
54, bhuidhe,487,23/04/10 0:00,23/08/11 0:00
55, munroes,1,22/06/18 0:00,23/06/18 0:00
56, tryfan,20,30/11/11 0:00,20/12/11 0:00
