,word,duration,sd,ed
0,,1299,22/02/02 0:00,13/09/05 0:00
2,datacom,212,05/09/15 0:00,04/04/16 0:00
3,diglycol,2283,04/04/16 0:00,05/07/22 0:00
4,bgytgbhbbyhbhhhytggd,60,23/02/19 0:00,24/04/19 0:00
5, equipmentm,4,28/11/09 0:00,02/12/09 0:00
6,mdac,383,13/09/05 0:00,01/10/06 0:00
7, gameplay,47,20/07/15 0:00,05/09/15 0:00
8, diglycol,2490,29/06/12 0:00,24/04/19 0:00
9, damge,46,19/07/15 0:00,03/09/15 0:00
10, govering,85,29/10/08 0:00,22/01/09 0:00
11, datacom,2495,05/11/08 0:00,05/09/15 0:00
12, dvi,5651,14/01/07 0:00,05/07/22 0:00
13, leauge,7,18/03/14 0:00,25/03/14 0:00
14,advanded,234,24/02/17 0:00,16/10/17 0:00
16,activex,3156,14/01/07 0:00,05/09/15 0:00
