,word,duration,sd,ed
0, dimila,761,2004-04-29 00:00:00,2006-05-30 00:00:00
1,,1105,2006-12-10 00:00:00,2009-12-19 00:00:00
2, chetowr,10,2007-03-05 00:00:00,2007-03-15 00:00:00
3, lingustic,153,2008-03-28 00:00:00,2008-08-28 00:00:00
4, hingiv,1,2006-01-03 00:00:00,2006-01-04 00:00:00
5, kurdological,6,2010-04-19 00:00:00,2010-04-25 00:00:00
6, pidar,5,2007-01-20 00:00:00,2007-01-25 00:00:00
7, accessdate,32,2008-08-06 00:00:00,2008-09-07 00:00:00
8, einer,1,2007-03-04 00:00:00,2007-03-05 00:00:00
9, ehmedi,6,2013-12-17 00:00:00,2013-12-23 00:00:00
10, naaf,4,2006-03-12 00:00:00,2006-03-16 00:00:00
11,abakhtar,1,2006-03-07 00:00:00,2006-03-08 00:00:00
12, dinawar,684,2006-04-16 00:00:00,2008-02-29 00:00:00
13, clouer,1,2013-06-11 00:00:00,2013-06-12 00:00:00
14, wahshiyya,3400,2013-03-14 00:00:00,2022-07-05 00:00:00
15, zazas,374,2008-01-25 00:00:00,2009-02-02 00:00:00
16, mordan,5,2007-01-20 00:00:00,2007-01-25 00:00:00
17, demirem,11,2007-03-04 00:00:00,2007-03-15 00:00:00
18, chim,9,2007-03-06 00:00:00,2007-03-15 00:00:00
19, masculin,1,2013-06-11 00:00:00,2013-06-12 00:00:00
20, picleri,1,2004-06-19 00:00:00,2004-06-20 00:00:00
21, shomaregari,9,2006-03-07 00:00:00,2006-03-16 00:00:00
22, galvez,2,2019-12-08 00:00:00,2019-12-10 00:00:00
23, dibazim,11,2007-03-04 00:00:00,2007-03-15 00:00:00
24, sharafkondi,1948,2014-02-21 00:00:00,2019-06-23 00:00:00
25, ergativity,581,2006-04-14 00:00:00,2007-11-16 00:00:00
26, rageyandin,3,2005-11-12 00:00:00,2005-11-15 00:00:00
27, oky,1,2008-10-26 00:00:00,2008-10-27 00:00:00
28, underestood,1,2009-02-01 00:00:00,2009-02-02 00:00:00
29, stehe,11,2007-03-04 00:00:00,2007-03-15 00:00:00
30, kirdin,4,2007-01-21 00:00:00,2007-01-25 00:00:00
31, hostorical,75,2007-12-14 00:00:00,2008-02-27 00:00:00
32, xana,52,2005-11-12 00:00:00,2006-01-03 00:00:00
33, mortaza,261,2021-10-17 00:00:00,2022-07-05 00:00:00
34, cocuklugu,1,2004-06-19 00:00:00,2004-06-20 00:00:00
35, muhim,1,2005-12-23 00:00:00,2005-12-24 00:00:00
36, xan,2,2007-03-04 00:00:00,2007-03-06 00:00:00
37, gfgdgdfg,3,2010-04-09 00:00:00,2010-04-12 00:00:00
38, masi,13,2013-03-14 00:00:00,2013-03-27 00:00:00
39,abdullah,136,2008-04-24 00:00:00,2008-09-07 00:00:00
40,adii,670,2006-07-03 00:00:00,2008-05-03 00:00:00
41, hoffen,172,2005-10-03 00:00:00,2006-03-24 00:00:00
42, hawraman,2,2009-10-07 00:00:00,2009-10-09 00:00:00
43, ministethe,6,2009-10-09 00:00:00,2009-10-15 00:00:00
44, gehen,54,2007-01-20 00:00:00,2007-03-15 00:00:00
45, destim,10,2007-03-05 00:00:00,2007-03-15 00:00:00
46, seywan,4475,2010-04-04 00:00:00,2022-07-05 00:00:00
47, swifted,2,2006-05-19 00:00:00,2006-05-21 00:00:00
