,word,duration,sd,ed
0,,1840,2002-02-25 00:00:00,2007-03-11 00:00:00
1, religous,34,2006-06-24 00:00:00,2006-07-28 00:00:00
2, captal,4,2009-05-06 00:00:00,2009-05-10 00:00:00
3, fachhochschule,1463,2014-05-03 00:00:00,2018-05-05 00:00:00
4, mirabellplatz,3842,2007-12-17 00:00:00,2018-06-24 00:00:00
5, ehlers,3710,2012-05-08 00:00:00,2022-07-05 00:00:00
6, elevationmax,7,2019-02-28 00:00:00,2019-03-07 00:00:00
7, bild,4197,2011-01-07 00:00:00,2022-07-05 00:00:00
8, vorwahl,2717,2011-09-28 00:00:00,2019-03-07 00:00:00
9, luftfeuchtigkeit,979,2019-10-30 00:00:00,2022-07-05 00:00:00
10, aut,1516,2018-05-11 00:00:00,2022-07-05 00:00:00
11, mirabellgarten,1723,2017-10-16 00:00:00,2022-07-05 00:00:00
12, noch,2,2002-11-27 00:00:00,2002-11-29 00:00:00
13, gemeinderat,2461,2011-09-28 00:00:00,2018-06-24 00:00:00
14, sinaagogue,4,2006-06-20 00:00:00,2006-06-24 00:00:00
15, monchsberg,3,2006-10-27 00:00:00,2006-10-30 00:00:00
16, itzling,4345,2010-08-12 00:00:00,2022-07-05 00:00:00
17, weeeeeeeee,5,2009-11-11 00:00:00,2009-11-16 00:00:00
18, herz,1603,2012-11-07 00:00:00,2017-03-29 00:00:00
19, lageplan,2717,2011-09-28 00:00:00,2019-03-07 00:00:00
20, eishockey,3336,2013-05-17 00:00:00,2022-07-05 00:00:00
21, koliko,6,2007-04-04 00:00:00,2007-04-10 00:00:00
22, elevationmin,7,2019-02-28 00:00:00,2019-03-07 00:00:00
23, maxglan,4345,2010-08-12 00:00:00,2022-07-05 00:00:00
24, ihn,800,2020-04-26 00:00:00,2022-07-05 00:00:00
25, megapixels,1,2008-04-18 00:00:00,2008-04-19 00:00:00
26, banas,8,2013-01-12 00:00:00,2013-01-20 00:00:00
27, vorstadt,466,2009-05-03 00:00:00,2010-08-12 00:00:00
28, zahlen,406,2014-07-23 00:00:00,2015-09-02 00:00:00
29, zahnwurzen,3710,2012-05-08 00:00:00,2022-07-05 00:00:00
30, heuberg,4345,2010-08-12 00:00:00,2022-07-05 00:00:00
31, trapp,4138,2006-11-11 00:00:00,2018-03-11 00:00:00
32, weg,3,2008-11-28 00:00:00,2008-12-01 00:00:00
33, wikipedia,2,2008-03-05 00:00:00,2008-03-07 00:00:00
34, crossborder,3336,2013-05-17 00:00:00,2022-07-05 00:00:00
35, partei,4098,2007-12-17 00:00:00,2019-03-07 00:00:00
36, verlagsgesellschaft,739,2020-06-26 00:00:00,2022-07-05 00:00:00
37, lonelyplanet,633,2006-06-06 00:00:00,2008-02-29 00:00:00
38, strahlung,979,2019-10-30 00:00:00,2022-07-05 00:00:00
39, salz,3,2005-01-24 00:00:00,2005-01-27 00:00:00
40, siegmundstor,4108,2007-03-26 00:00:00,2018-06-24 00:00:00
41, schnee,979,2019-10-30 00:00:00,2022-07-05 00:00:00
42, wermuth,1,2012-02-06 00:00:00,2012-02-07 00:00:00
43, scamozzi,3710,2012-05-08 00:00:00,2022-07-05 00:00:00
44, teritories,16,2012-10-13 00:00:00,2012-10-29 00:00:00
45, brauche,800,2020-04-26 00:00:00,2022-07-05 00:00:00
46, basilika,1739,2008-05-15 00:00:00,2013-02-17 00:00:00
47, fotoserver,12,2006-02-18 00:00:00,2006-03-02 00:00:00
48, doch,800,2020-04-26 00:00:00,2022-07-05 00:00:00
49, salzkammergut,375,2005-02-28 00:00:00,2006-03-10 00:00:00
50, sinagogue,3,2006-06-23 00:00:00,2006-06-26 00:00:00
51, thewotme,2757,2011-11-23 00:00:00,2019-06-11 00:00:00
52, verbund,3402,2013-03-12 00:00:00,2022-07-05 00:00:00
53, riedenburg,4345,2010-08-12 00:00:00,2022-07-05 00:00:00
54, familiess,47,2005-05-10 00:00:00,2005-06-26 00:00:00
55, neustadt,4345,2010-08-12 00:00:00,2022-07-05 00:00:00
56, hahaah,36,2011-10-12 00:00:00,2011-11-17 00:00:00
57, norican,5626,2007-02-08 00:00:00,2022-07-05 00:00:00
58, nonntal,4345,2010-08-12 00:00:00,2022-07-05 00:00:00
59,eventcalendar,25,2004-06-16 00:00:00,2004-07-11 00:00:00
60, slazburg,8,2010-08-04 00:00:00,2010-08-12 00:00:00
61,accross,54,2005-01-24 00:00:00,2005-03-19 00:00:00
62, hundret,12,2006-02-18 00:00:00,2006-03-02 00:00:00
63, ortsvorsteher,7,2019-02-28 00:00:00,2019-03-07 00:00:00
64, salzburgpimjpoiujipuhipuhipuhipuhipuhioh,1,2010-03-28 00:00:00,2010-03-29 00:00:00
65, landeshauptstadt,4537,2008-12-29 00:00:00,2021-06-01 00:00:00
66, hej,4,2007-07-23 00:00:00,2007-07-27 00:00:00
67, scince,4,2020-08-27 00:00:00,2020-08-31 00:00:00
68, hohensalzburg,6371,2005-01-24 00:00:00,2022-07-05 00:00:00
69, stadtforschung,406,2014-07-23 00:00:00,2015-09-02 00:00:00
70, regbzk,403,2006-11-09 00:00:00,2007-12-17 00:00:00
71, hohenems,3710,2012-05-08 00:00:00,2022-07-05 00:00:00
72, sittikus,3710,2012-05-08 00:00:00,2022-07-05 00:00:00
73, wollen,739,2020-06-26 00:00:00,2022-07-05 00:00:00
74, schallmoos,4345,2010-08-12 00:00:00,2022-07-05 00:00:00
75, kilometres,3307,2004-08-20 00:00:00,2013-09-09 00:00:00
76, makart,67,2004-05-05 00:00:00,2004-07-11 00:00:00
77, gemeindeverwaltungsverband,7,2019-02-28 00:00:00,2019-03-07 00:00:00
78, gneis,4345,2010-08-12 00:00:00,2022-07-05 00:00:00
79, festung,6371,2005-01-24 00:00:00,2022-07-05 00:00:00
80, locode,2717,2011-09-28 00:00:00,2019-03-07 00:00:00
81, bewahren,739,2020-06-26 00:00:00,2022-07-05 00:00:00
82, salzburger,6528,2004-08-20 00:00:00,2022-07-05 00:00:00
83, furtheron,130,2006-06-20 00:00:00,2006-10-28 00:00:00
84, freiherr,3710,2012-05-08 00:00:00,2022-07-05 00:00:00
85, mozarts,30,2007-03-25 00:00:00,2007-04-24 00:00:00
86, blog,3877,2011-11-23 00:00:00,2022-07-05 00:00:00
87, firmian,2673,2005-05-10 00:00:00,2012-09-03 00:00:00
88, popkey,50,2011-09-28 00:00:00,2011-11-17 00:00:00
89,accessdate,410,2019-10-30 00:00:00,2020-12-13 00:00:00
90, kapitel,4176,2007-01-18 00:00:00,2018-06-25 00:00:00
91, panoramio,16,2017-10-16 00:00:00,2017-11-01 00:00:00
92, lodron,8,2019-05-03 00:00:00,2019-05-11 00:00:00
93, disctrits,39,2009-05-03 00:00:00,2009-06-11 00:00:00
94, heyyyyyyyy,1,2016-03-18 00:00:00,2016-03-19 00:00:00
95, gyspy,113,2007-04-19 00:00:00,2007-08-10 00:00:00
96,arbeitserziehungslager,1,2017-11-06 00:00:00,2017-11-07 00:00:00
97, marktgemeinde,7,2019-02-28 00:00:00,2019-03-07 00:00:00
98, verwaltungsgemeinschaft,7,2019-02-28 00:00:00,2019-03-07 00:00:00
99, labofamous,1,2008-01-24 00:00:00,2008-01-25 00:00:00
100, zentrum,232,2021-11-15 00:00:00,2022-07-05 00:00:00
101, stirbt,739,2020-06-26 00:00:00,2022-07-05 00:00:00
102, gaisberg,4345,2010-08-12 00:00:00,2022-07-05 00:00:00
103, arbeitserziehungslager,3298,2013-06-24 00:00:00,2022-07-05 00:00:00
104, lol,1,2007-10-02 00:00:00,2007-10-03 00:00:00
105, verwaltungsverband,7,2019-02-28 00:00:00,2019-03-07 00:00:00
106, mattia,47,2017-03-29 00:00:00,2017-05-15 00:00:00
107, lasserstrasse,488,2006-06-24 00:00:00,2007-10-25 00:00:00
108, mozarteum,5419,2007-09-03 00:00:00,2022-07-05 00:00:00
109, homepage,272,2016-09-19 00:00:00,2017-06-18 00:00:00
110, taxham,4345,2010-08-12 00:00:00,2022-07-05 00:00:00
111, schaden,252,2006-11-09 00:00:00,2007-07-19 00:00:00
112, infobox,7,2019-02-28 00:00:00,2019-03-07 00:00:00
113, diagonially,3,2006-10-27 00:00:00,2006-10-30 00:00:00
114, systeme,2,2002-11-27 00:00:00,2002-11-29 00:00:00
115, freilichtmuseum,5650,2007-01-15 00:00:00,2022-07-05 00:00:00
116, statutarstadt,5314,2007-12-17 00:00:00,2022-07-05 00:00:00
117,familiess,40,2005-05-31 00:00:00,2005-07-10 00:00:00
118, europark,3710,2012-05-08 00:00:00,2022-07-05 00:00:00
119, sbg,4010,2006-11-09 00:00:00,2017-11-01 00:00:00
120,festung,618,2005-01-28 00:00:00,2006-10-08 00:00:00
121, percentsun,979,2019-10-30 00:00:00,2022-07-05 00:00:00
122,salzberg,63,2003-07-06 00:00:00,2003-09-07 00:00:00
123, einwohner,7,2019-02-28 00:00:00,2019-03-07 00:00:00
124, krazy,1,2007-01-31 00:00:00,2007-02-01 00:00:00
125, willys,2,2008-11-18 00:00:00,2008-11-20 00:00:00
126,bumfluff,5,2004-06-30 00:00:00,2004-07-05 00:00:00
127, subcamps,3,2007-04-19 00:00:00,2007-04-22 00:00:00
128, gemeindekennziffer,2461,2011-09-28 00:00:00,2018-06-24 00:00:00
129, salzburgen,1,2007-01-31 00:00:00,2007-02-01 00:00:00
130, slikke,9,2016-03-08 00:00:00,2016-03-17 00:00:00
131, togther,83,2006-06-20 00:00:00,2006-09-11 00:00:00
132, statistik,5646,2007-01-19 00:00:00,2022-07-05 00:00:00
133, parsch,4345,2010-08-12 00:00:00,2022-07-05 00:00:00
134, statistisches,406,2014-07-23 00:00:00,2015-09-02 00:00:00
135, lageplanbeschreibung,7,2019-02-28 00:00:00,2019-03-07 00:00:00
136, sheepfucker,1,2009-09-06 00:00:00,2009-09-07 00:00:00
137, geburthaus,3,2007-03-21 00:00:00,2007-03-24 00:00:00
138, cockzburg,5,2004-06-30 00:00:00,2004-07-05 00:00:00
139, uefa,2205,2016-06-21 00:00:00,2022-07-05 00:00:00
140, gebhard,20,2006-06-20 00:00:00,2006-07-10 00:00:00
141, webcam,38,2014-02-12 00:00:00,2014-03-22 00:00:00
142, niederschlag,979,2019-10-30 00:00:00,2022-07-05 00:00:00
143, website,6584,2004-06-25 00:00:00,2022-07-05 00:00:00
144, zwischenlager,3298,2013-06-24 00:00:00,2022-07-05 00:00:00
145, kasern,4345,2010-08-12 00:00:00,2022-07-05 00:00:00
146, festspiele,3494,2009-11-16 00:00:00,2019-06-11 00:00:00
147,basilika,759,2007-01-15 00:00:00,2009-02-12 00:00:00
148, wappen,4501,2006-11-09 00:00:00,2019-03-07 00:00:00
149, residenz,5730,2006-10-27 00:00:00,2022-07-05 00:00:00
150, werden,2,2002-11-27 00:00:00,2002-11-29 00:00:00
151, homolord,3,2008-11-28 00:00:00,2008-12-01 00:00:00
152, und,3136,2007-01-31 00:00:00,2015-09-02 00:00:00
153, archivedate,410,2019-10-30 00:00:00,2020-12-13 00:00:00
154,makart,268,2003-11-26 00:00:00,2004-08-20 00:00:00
155, offf,1,2007-01-31 00:00:00,2007-02-01 00:00:00
156, ikea,3,2006-10-27 00:00:00,2006-10-30 00:00:00
157, cocksuck,5,2004-06-30 00:00:00,2004-07-05 00:00:00
158,bei,98,2006-10-26 00:00:00,2007-02-01 00:00:00
159, steyrer,1,2011-06-13 00:00:00,2011-06-14 00:00:00
160, glupi,6,2007-04-04 00:00:00,2007-04-10 00:00:00
161, swires,768,2007-10-05 00:00:00,2009-11-11 00:00:00
162, erstellt,2,2002-11-27 00:00:00,2002-11-29 00:00:00
